name,year,rate,code
Alabama,2016,2.01,1
Alabama,2015,2.01,2
Alabama,2014,2,3
Alabama,2013,1.99,4
Alabama,2012,2,5
Alabama,2011,1.98,6
Alabama,2010,1.98,7
Alabama,2009,1.98,8
Alabama,2008,2.01,9
Alabama,2007,2,10
Alabama,2006,1.95,11
Alabama,2005,1.91,12
Alabama,2004,1.91,13
Alabama,2003,1.9,14
Alabama,2002,1.92,15
Alabama,2001,1.86,16
Alabama,2000,1.88,17
Alabama,1999,1.87,18
Alabama,1998,1.85,19
Alabama,1997,1.82,20
Alabama,1996,1.88,21
Alabama,1995,1.82,22
Alabama,1994,1.87,23
Alabama,1993,1.86,24
Alabama,1992,1.79,25
Alabama,1991,1.76,26
Alabama,1990,1.92,27
Alabama,1989,1.9,28
Alabama,1988,1.92,29
Alabama,1987,1.91,30
Alabama,1986,1.92,31
Alabama,1985,1.92,32
Alabama,1984,1.91,33
Alabama,1983,1.9,34
Alabama,1982,1.9,35
Alabama,1981,1.91,36
Alabama,1980,1.86,37
Alabama,1979,1.9,38
Alabama,1978,1.92,39
Alabama,1977,1.92,40
Alaska,2016,2.94,41
Alaska,2015,2.84,42
Alaska,2014,2.79,43
Alaska,2013,2.75,44
Alaska,2012,2.83,45
Alaska,2011,2.86,46
Alaska,2010,3.03,47
Alaska,2009,3.02,48
Alaska,2008,2.78,49
Alaska,2007,2.53,50
Alaska,2006,2.75,51
Alaska,2005,2.64,52
Alaska,2004,2.71,53
Alaska,2003,2.43,54
Alaska,2002,2.99,55
Alaska,2001,2.67,56
Alaska,2000,2.68,57
Alaska,1999,2.74,58
Alaska,1998,2.71,59
Alaska,1997,2.56,60
Alaska,1996,2.63,61
Alaska,1995,2.86,62
Alaska,1994,3.03,63
Alaska,1993,2.55,64
Alaska,1992,3.02,65
Alaska,1991,3.11,66
Alaska,1990,3.33,67
Alaska,1989,3.15,68
Alaska,1988,3.21,69
Alaska,1987,3.38,70
Alaska,1986,3.45,71
Alaska,1985,3.68,72
Alaska,1984,3.72,73
Alaska,1983,3.95,74
Alaska,1982,3.92,75
Alaska,1981,4.02,76
Alaska,1980,3.72,77
Alaska,1979,3.58,78
Alaska,1978,3.51,79
Alaska,1977,3.3,80
Arizona,2016,2.31,81
Arizona,2015,2.34,82
Arizona,2014,2.37,83
Arizona,2013,2.36,84
Arizona,2012,2.43,85
Arizona,2011,2.39,86
Arizona,2010,2.39,87
Arizona,2009,2.38,88
Arizona,2008,2.48,89
Arizona,2007,2.51,90
Arizona,2006,2.51,91
Arizona,2005,2.51,92
Arizona,2004,2.44,93
Arizona,2003,2.49,94
Arizona,2002,2.48,95
Arizona,2001,2.5,96
Arizona,2000,2.5,97
Arizona,1999,2.51,98
Arizona,1998,2.45,99
Arizona,1997,2.44,100
Arizona,1996,2.58,101
Arizona,1995,2.44,102
Arizona,1994,2.5,103
Arizona,1993,2.62,104
Arizona,1992,2.69,105
Arizona,1991,2.71,106
Arizona,1990,2.77,107
Arizona,1989,2.81,108
Arizona,1988,2.87,109
Arizona,1987,2.93,110
Arizona,1986,3.09,111
Arizona,1985,3.11,112
Arizona,1984,3.04,113
Arizona,1983,3.02,114
Arizona,1982,3.07,115
Arizona,1981,3.18,116
Arizona,1980,3.01,117
Arizona,1979,3.15,118
Arizona,1978,3.04,119
Arizona,1977,2.92,120
Arkansas,2016,1.8,121
Arkansas,2015,1.83,122
Arkansas,2014,1.79,123
Arkansas,2013,1.81,124
Arkansas,2012,1.81,125
Arkansas,2011,1.72,126
Arkansas,2010,1.77,127
Arkansas,2009,1.78,128
Arkansas,2008,1.77,129
Arkansas,2007,1.69,130
Arkansas,2006,1.75,131
Arkansas,2005,1.67,132
Arkansas,2004,1.68,133
Arkansas,2003,1.77,134
Arkansas,2002,1.75,135
Arkansas,2001,1.74,136
Arkansas,2000,1.74,137
Arkansas,1999,1.75,138
Arkansas,1998,1.73,139
Arkansas,1997,1.71,140
Arkansas,1996,1.72,141
Arkansas,1995,1.68,142
Arkansas,1994,1.65,143
Arkansas,1993,1.79,144
Arkansas,1992,1.9,145
Arkansas,1991,1.81,146
Arkansas,1990,1.86,147
Arkansas,1989,1.82,148
Arkansas,1988,1.78,149
Arkansas,1987,1.74,150
Arkansas,1986,1.65,151
Arkansas,1985,1.77,152
Arkansas,1984,1.8,153
Arkansas,1983,1.79,154
Arkansas,1982,1.78,155
Arkansas,1981,1.86,156
Arkansas,1980,1.81,157
Arkansas,1979,1.54,158
Arkansas,1978,1.76,159
Arkansas,1977,1.61,160
California,2016,2.33,161
California,2015,2.28,162
California,2014,2.32,163
California,2013,2.33,164
California,2012,2.35,165
California,2011,2.25,166
California,2010,2.16,167
California,2009,2.28,168
California,2008,2.3,169
California,2007,2.3,170
California,2006,2.29,171
California,2005,2.26,172
California,2004,2.25,173
California,2003,2.23,174
California,2002,2.21,175
California,2001,2.2,176
California,2000,2.24,177
California,1999,2.22,178
California,1998,2.21,179
California,1997,2.28,180
California,1996,2.27,181
California,1995,2.24,182
California,1994,2.24,183
California,1993,2.35,184
California,1992,2.54,185
California,1991,2.46,186
California,1990,2.78,187
California,1989,2.75,188
California,1988,2.86,189
California,1987,3,190
California,1986,3.08,191
California,1985,3.11,192
California,1984,3.16,193
California,1983,3.21,194
California,1982,3.22,195
California,1981,3.35,196
California,1980,3.36,197
California,1979,3.32,198
California,1978,3.28,199
California,1977,3.19,200
Colorado,2016,2.81,201
Colorado,2015,2.77,202
Colorado,2014,2.77,203
Colorado,2013,2.81,204
Colorado,2012,2.76,205
Colorado,2011,2.73,206
Colorado,2010,2.71,207
Colorado,2009,2.7,208
Colorado,2008,2.77,209
Colorado,2007,2.78,210
